,data_types,hubmap_id,origin_samples_unique_mapped_organs,uuid
236,['salmon_sn_rnaseq_10x'],HBM696.FGSV.776,['Large Intestine'],9b03c4c79ef7bcd1e8992cd50ed3f482
237,['salmon_sn_rnaseq_10x'],HBM536.BTZP.293,['Small Intestine'],4c4a3047474bf43ea46ca99157c460e1
238,['salmon_sn_rnaseq_10x'],HBM298.XPFQ.827,['Large Intestine'],8ccdee5587a477c482be2e6e19dddf7a
239,['salmon_sn_rnaseq_10x'],HBM265.PCGD.229,['Small Intestine'],174c43df28ab2ab737471d00a65d7730
240,['salmon_sn_rnaseq_10x'],HBM842.TBXT.532,['Small Intestine'],811e4fd5a09896edcb70814a582e85e4
241,['salmon_sn_rnaseq_10x'],HBM459.SBBC.954,['Lung (Right)'],c92847b1dcfb19774c9829b0759162b2
242,['salmon_sn_rnaseq_10x'],HBM268.JVCP.449,['Lung (Right)'],87023a2c65ec7aaa439af2a55c77cbb5
243,['salmon_sn_rnaseq_10x'],HBM457.MFQV.579,['Lung (Left)'],57cf1d63bf13e804c38495f02731aa5e
244,['salmon_rnaseq_snareseq'],HBM497.WQJW.847,['Kidney (Right)'],85dcbf66b078d61015a6e1c1f971d7d8
245,['salmon_rnaseq_snareseq'],HBM787.XCSX.733,['Kidney (Right)'],dbe24793ebc30c47e241150cccf4b0d1
246,['salmon_sn_rnaseq_10x'],HBM648.DKQK.874,['Kidney (Left)'],08c1aa2e74700e1170fc9218ae255992
247,['salmon_rnaseq_snareseq'],HBM986.TMMG.663,['Kidney (Left)'],fa9a13fa6cca3c96869930f0b483b484
248,['salmon_rnaseq_snareseq'],HBM694.NXCN.368,['Kidney (Left)'],7f1e932a91a86ef58ed61ee19c175c18
249,['salmon_sn_rnaseq_10x'],HBM293.NNSQ.773,['Kidney (Left)'],92248f72d47b916a2027085ec1b8e996
250,['salmon_rnaseq_snareseq'],HBM455.DWVJ.936,['Kidney (Right)'],9ef25b416e99014c7af842b97626e676
251,['salmon_sn_rnaseq_10x'],HBM525.SJRT.585,['Kidney (Right)'],739184f7ec84d93a35360cde81cc026c
252,['salmon_sn_rnaseq_10x'],HBM537.MVDQ.934,['Heart'],a48ab0bf5d8084da24859c4e64336e9c
253,['salmon_sn_rnaseq_10x'],HBM596.VMRV.644,['Small Intestine'],c3fc521953367daa816487df05a58ec8
254,['salmon_sn_rnaseq_10x'],HBM867.NVKS.443,['Small Intestine'],266d58d22549461cd454c32084b9f7fe
255,['salmon_sn_rnaseq_10x'],HBM685.MSCQ.978,['Large Intestine'],69d175d24b6b3997cc99fa6531a5fbce
256,['salmon_sn_rnaseq_10x'],HBM269.LCND.454,['Large Intestine'],9308dab31ff0b18325f79a671cd6d833
257,['salmon_sn_rnaseq_10x'],HBM843.CLTD.457,['Small Intestine'],1c7aed43c995b32eb9b7233dce635529
258,['salmon_sn_rnaseq_10x'],HBM879.RZJJ.974,['Kidney (Left)'],897c8d98e62b782b81f4b1bbf85e49bc
259,['salmon_sn_rnaseq_10x'],HBM772.WGBN.852,['Kidney (Right)'],30cca46b98006c525d3df89d6b6374e4
260,['salmon_sn_rnaseq_10x'],HBM292.GSZL.269,['Kidney (Right)'],dd7ccbc306692fc5ff5e61c22845da21
261,['salmon_sn_rnaseq_10x'],HBM498.NTHR.573,['Kidney (Left)'],84ae65cb9e8eb84562ee268b4e7b5637
262,['salmon_sn_rnaseq_10x'],HBM355.NTQW.365,['Bladder'],6f1b0a72a5e10af1474cec9a8804b8f5
263,['salmon_sn_rnaseq_10x'],HBM457.CPNK.822,['Kidney (Left)'],75356313b18a160c4cb1c1ee0cad5cb6
264,['salmon_rnaseq_slideseq'],HBM737.XZCH.767,['Kidney (Right)'],4e372aa4f8cfce62f2663c5ef810409a
265,['salmon_rnaseq_slideseq'],HBM459.KCST.593,['Kidney (Right)'],aeaaa0536b87935ad50cf69f1a0c3b1a
266,['salmon_rnaseq_slideseq'],HBM634.QQWF.789,['Kidney (Right)'],feea9accbe57b7a052563895ac543d91
267,['salmon_rnaseq_slideseq'],HBM986.KFWG.239,['Kidney (Right)'],cdf9127efdfc96189845c35244d4d8ab
268,['salmon_rnaseq_slideseq'],HBM589.DDFR.467,['Kidney (Left)'],fee4cf0e7da557d3ef5c535b5417ed7a
269,['salmon_rnaseq_slideseq'],HBM247.KWKL.324,['Kidney (Left)'],97c65df1d8fdc8d67c34a55e386fd430
270,['salmon_rnaseq_slideseq'],HBM855.HPDG.442,['Kidney (Left)'],206d669d243f6dab04cc126a52cdab8d
271,['salmon_rnaseq_slideseq'],HBM248.HPXX.584,['Kidney (Left)'],51bfd85763954248725ebf69f0dde5eb
272,['salmon_sn_rnaseq_10x'],HBM976.LDTR.982,['Kidney (Left)'],5ee240959c96b49d960702755478b9fc
273,['salmon_sn_rnaseq_10x'],HBM439.JPZX.574,['Kidney (Right)'],82400009b02f7651f3edf5b292f7cd9a
274,['salmon_sn_rnaseq_10x'],HBM975.MVDK.648,['Kidney (Right)'],ec7ebe15feec075a0299979b0350dd3a
275,['salmon_rnaseq_slideseq'],HBM879.GKJM.445,['Kidney (Right)'],bf1896efe41bb1b17eee3bd77072454d
276,['salmon_rnaseq_slideseq'],HBM445.HBRQ.488,['Kidney (Right)'],72fd0d8256cd9d9e9d0c75ed7b4431cc
277,['salmon_rnaseq_slideseq'],HBM393.SNVZ.737,['Kidney (Right)'],30a94db595b402bd813b020b0c51e233
278,['salmon_rnaseq_slideseq'],HBM297.FDTX.382,['Kidney (Right)'],2e4ae8b2f845f62e77cea46ef074981c
279,['salmon_sn_rnaseq_10x'],HBM779.FQMX.497,['Kidney (Right)'],af5741dad7aecf7960a129c3d2ae642a
280,['salmon_sn_rnaseq_10x'],HBM594.TKFR.674,['Kidney (Left)'],cd9d171eaa5bbff511011b81985fa4f8
281,['salmon_rnaseq_slideseq'],HBM547.TFRR.794,['Kidney (Left)'],0db9481caed92aec4cddc606108692d5
282,['salmon_rnaseq_slideseq'],HBM827.MJMM.447,['Kidney (Right)'],dab09765ac710804749b195462381b32
283,['salmon_sn_rnaseq_10x'],HBM446.TBPT.898,['Bladder'],d67c61063b82f6479e93133bdd8949fb
284,['salmon_sn_rnaseq_10x'],HBM262.LMHQ.472,['Bladder'],4b3d4efca2e64a650e943c7bf63f9830
285,['salmon_rnaseq_10x'],HBM639.XJJK.393,['Lymph Node'],b1f17d04de81b0a8a8e2b894308498d3
286,['salmon_rnaseq_10x'],HBM323.BVBV.658,['Spleen'],9a36e5319429ec6aca5a8a9fef401929
287,['salmon_rnaseq_10x'],HBM726.GNCK.634,['Spleen'],8e2806ca447695e674889dba28506d38
288,['salmon_rnaseq_10x'],HBM493.DHZJ.845,['Spleen'],7b99b447ffc977a3f6f890d32c7238b3
289,['salmon_rnaseq_10x'],HBM675.CLZD.975,['Lymph Node'],b299e98235f157534445f00884ae7c44
290,['salmon_rnaseq_slideseq'],HBM776.GZVW.552,['Kidney (Left)'],2d8b8b5f4cf8b1f955b1b823ae9a9441
291,['salmon_rnaseq_slideseq'],HBM476.ZLDJ.925,['Kidney (Left)'],35234b5e3eda236bb80ef3722da366f7
292,['salmon_sn_rnaseq_10x'],HBM986.QHTG.356,['Kidney (Left)'],3c53dca6b15e90eab6166f527636685c
293,['salmon_sn_rnaseq_10x'],HBM729.RCXL.887,['Kidney (Left)'],2dc005024c64b82e95e6e69d56407c0e
294,['salmon_sn_rnaseq_10x'],HBM842.DDTX.473,['Kidney (Left)'],63349325056ccff582f1d095055c7e12
295,['salmon_rnaseq_slideseq'],HBM363.FVKP.935,['Kidney (Left)'],51bc718e411810044e4258dae80ff044
296,['salmon_sn_rnaseq_10x'],HBM845.SFMK.942,['Kidney (Left)'],7c9e07c96d144536525b1f889acee14d
297,['salmon_rnaseq_slideseq'],HBM989.WFLC.569,['Kidney (Left)'],5908774e08f8a32737cdfe70e868a944
298,['salmon_rnaseq_slideseq'],HBM949.PLLF.787,['Kidney (Left)'],74e09cbb91aba06b48429651cb388940
299,['salmon_sn_rnaseq_10x'],HBM349.BJZL.272,['Kidney (Left)'],e35c788dcdcb18c64ad300097b0b863c
300,['salmon_rnaseq_slideseq'],HBM795.RNJG.329,['Kidney (Left)'],a19973065eec1489f4d6a308e73da275
301,['salmon_rnaseq_slideseq'],HBM595.LBXP.486,['Kidney (Left)'],fd0b0c1d050010de3520492147aacef4
302,['salmon_rnaseq_slideseq'],HBM398.BLRW.228,['Kidney (Left)'],1b5c7d45cb0e475b73f9280d092d34a5
303,['salmon_rnaseq_slideseq'],HBM344.SXNJ.874,['Kidney (Left)'],41dab04d801d21bfc99328c9e249cc68
304,['salmon_sn_rnaseq_10x'],HBM697.GKCG.783,['Kidney (Right)'],0b2dd0e14711d1f77e15ff1c731ef069
305,['salmon_sn_rnaseq_10x'],HBM685.VPKN.922,['Kidney (Left)'],ef6d7b2952846bd382fd815cb100cd1c
306,['salmon_sn_rnaseq_10x'],HBM633.LLDZ.679,['Kidney (Right)'],9a7e6be288b27ddbd3366c4ae41bbcd2
307,['salmon_sn_rnaseq_10x'],HBM793.JDRF.289,['Kidney (Right)'],018a905cdbdff684760859f594d3fd77
308,['salmon_rnaseq_slideseq'],HBM294.CHCQ.358,['Kidney (Left)'],2cd4eabca0b653af7f3b79534b2d641f
309,['salmon_rnaseq_snareseq'],HBM562.SHDB.983,['Lung (Left)'],668a833e9d3ba0071d8648d6108828df
310,['salmon_rnaseq_snareseq'],HBM748.PRHN.647,['Heart'],c939070bed51fbad07814bc5f265d839
311,['salmon_sn_rnaseq_10x'],HBM893.JVLB.845,['Heart'],4c435d2297941eafda7fe30f327f88ec
312,['salmon_sn_rnaseq_10x'],HBM468.ZZVX.652,['Large Intestine'],7edbff53248f2a2c8e74f5f955681734
313,['salmon_sn_rnaseq_10x'],HBM537.SKND.632,['Kidney (Left)'],cf3ba9b4cc97302d70d28139ae8e4c13
314,['salmon_sn_rnaseq_10x'],HBM439.BQLR.867,['Kidney (Left)'],47015df8ab7615a9ce26098d88196dde
315,['salmon_rnaseq_snareseq'],HBM479.GMDK.586,['Kidney (Right)'],704d16116f29994ab0e714f4afdb5516
316,['salmon_rnaseq_snareseq'],HBM475.CVXD.875,['Kidney (Right)'],33c0ce043ae331ea23fc80023428e534
317,['salmon_rnaseq_snareseq'],HBM745.HTBD.332,['Kidney (Right)'],8c5e705001d5cc1c40dbd963ad848486
318,['salmon_rnaseq_snareseq'],HBM823.CNRW.484,['Kidney (Right)'],ccbad4ffd323265937b842ea36ada4ad
319,['salmon_sn_rnaseq_10x'],HBM226.HRTZ.874,['Kidney (Right)'],91cfb45f5d398e950ed65786c87f4372
320,['salmon_sn_rnaseq_10x'],HBM969.PBMH.689,['Kidney (Right)'],377df3da484d29fdde20ec020a76ba1b
321,['salmon_rnaseq_snareseq'],HBM236.KSJH.889,['Kidney (Left)'],aa93e53df10842c13348a334c8fe423f
322,['salmon_sn_rnaseq_10x'],HBM292.MTQK.563,['Kidney (Left)'],434fbc55d458dc4e06da9ba4961f3840
